Company ID,Company Name,Industry,Employees,Revenue ($M),Country,Founded
1,TechNova Inc.,Technology,500,120,USA,2010
2,Healthify Labs,Healthcare,220,45,Germany,2015
3,GreenGrid Energy,Renewable Energy,150,60,Canada,2012
4,EduSmart Pvt. Ltd.,EdTech,85,18,India,2018
5,FinByte Corp,Finance/FinTech,700,200,USA,2005
6,FoodCart Co.,E-commerce (Food),300,80,UK,2014
7,MediCore Systems,Biotech,400,130,Switzerland,2011
8,AutoDynamics,Automotive,950,500,Japan,1999
9,CloudWare Ltd.,SaaS / Cloud,120,95,Australia,2016
10,Quantum Retail,Retail Tech,350,110,Singapore,2013
